category,text,tokenNumber,name,extraction,field,manualReview,imagePath
shop_signage,bringing freedom and democracy to an oil rich country near you,1037,drifella 2 #1037,metadata,94overlay,False,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H3TxUpcGF98i2zjmmBszurVGJXRLRaUd2zRJ4rp7h2mT/image.png
npc_bark,im in love with my gf dont talk to me she has a nuclear bomb,3781,drifella 2 #3781,metadata,94overlay,False,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H2yeoPaEbPXvH2eEL7UbipdWhvQ2e1izDC1W4J16UzF6/image.png
npc_bark,you cant beat a man that battles with himself every day,3735,drifella 2 #3735,metadata,94overlay,False,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HHNufmLs1g8YAptrrnQwjChct8cu7M8XbijAmTzDDJit/image.png
npc_bark,i like getting my boot hole licked by nft monkeys,903,drifella 2 #903,metadata,94overlay,False,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/GedDYV92GkzgcA288hz5kpTY6zqBBAGgxEsZHHoVSDPa/image.png
npc_bark,youre in her dms im letting greed corrupt me,2458,drifella 2 #2458,metadata,94overlay,False,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H3ASpWBb1MWez8vKwzqrhKw2y8GyZBm8khW9MViuxtwQ/image.png
npc_bark,someone with autism stole my wallet heart,6386,drifella 2 #6386,metadata,93right,False,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HGupjnMTr2ANHhxuXXNALxYf7kUXBRYdUXsvQknx5qHq/image.png
npc_bark,house party nearby im bringing weird guys,1901,drifella 2 #1901,metadata,1background,False,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H5SQqh9X4EkCQErVQHoEHRSECT5eLpUTNXS4KZ72yb5n/image.png
npc_bark,who needs brain cells when you have swag,9747,drifella 2 #9747,metadata,94overlay,False,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HGpSWT5iPqW3ZEcbxZ5XEWmQsaZDdheZUGxzwtaWsc4x/image.png
shop_signage,it takes a little treat to tame a beast,8033,drifella 2 #8033,metadata,94overlay,False,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HEYupjz6nXfEu7Q1RU4fA6BGQDutXHDyzeTpmuJ9rxNt/image.png
inspect_text,earl chart painting in my living room,7908,drifella 2 #7908,metadata,1background,False,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HHBduQVfhXmBn9HGaSyE8D7sPXwwdQPcTwDxbyj8AqNE/image.png
item_enemy_prop_name,officer peaked another soviet comrade,1527,drifella 2 #1527,metadata,91head,False,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/GqkfgU4m79de5ZfzhkeML3HyzMH9JxmRhvzSUyQUvtE4/image.png
npc_bark,thank you lord for this here perc 30,6984,drifella 2 #6984,metadata,94overlay,False,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/GvP5JoNeyvt24Tnt73YkUhADrLqzrp9tUXToU72VgULU/image.png
npc_bark,yall dont fuck with music like i do,2201,drifella 2 #2201,metadata,94overlay,False,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/Gtx8gUca9Vyy76468RZYxyTfwL8spA2uS3E9y6yMw9x4/image.png
shop_signage,TAKE ALL YOUR MONEY OUT OF THE BANK,5549,drifella 2 #5549,metadata,1background,False,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/GjYSVrRzf4YcEwY2Hk6PvSi4D6roVGFijJTU6628eMAV/image.png
dream_milady_weirdness,wake up we gotta turn the power on,5170,drifella 2 #5170,metadata,94overlay,False,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HKJTjMV8dXEa9gJhFytQtDYdkTLouHhVRMMi85DjmYWd/image.png
npc_bark,his ass is not a software engineer,5346,drifella 2 #5346,metadata,94overlay,False,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H7reUHJCSehPQ9WDFPiVWCDdAut3hu6Q5mYk1efwJnUz/image.png
dream_milady_weirdness,remember who you are fighting for,3346,drifella 2 #3346,metadata,1background,False,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H1JaT9wsyQt7kETnjLkTNBvkDW978ep43hAV9aeYzS9C/image.png
item_enemy_prop_name,community rpg shoutsout community,5549,drifella 2 #5549,metadata,93right,False,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/GjYSVrRzf4YcEwY2Hk6PvSi4D6roVGFijJTU6628eMAV/image.png
dream_milady_weirdness,i wake up i engage in tomfoolery,6233,drifella 2 #6233,metadata,94overlay,False,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HEMTnmzsoUN6mKyFKybHCRjvrjfREf1VYgbsjxkm8sS3/image.png
item_enemy_prop_name,ceramic chambered mifella heart,6063,drifella 2 #6063,metadata,92left,False,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/Gj7osQdkREK9BjnfoHPtwfQLnT9pDKJRCq7mcQmPjJeB/image.png
item_enemy_prop_name,dark magician spiky headphones,1794,drifella 2 #1794,metadata,91head,False,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HBPXzpdUZSNanRbstH2y3JtXZDzkFV1trBwzFGFwxsMV/image.png
item_enemy_prop_name,mangekyo sharingan right bleed,4748,drifella 2 #4748,metadata,9eyes,False,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H2mbvLRpHeFxnBqFLrGgccBPSNWrpzMwMU14Xr2mEZQS/image.png
npc_bark,skull of mary magdeline shrine,8878,drifella 2 #8878,metadata,1background,False,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/GwkUajXGqwgVNwuXXdkgkLKG3Vbh7ZHKESK7TSxrdt9w/image.png
npc_bark,edward and bella playing chess,9090,drifella 2 #9090,metadata,94overlay,False,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/GaJuXWZbZoBRp8mNT6gN1pB3q84eyeEsUvV3h4E6zCSZ/image.png
item_enemy_prop_name,mangekyo sharingan left bleed,5544,drifella 2 #5544,metadata,9eyes,False,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H1mv1sD7yvW2eErdLdRiHDz57XTNpBbAdiSaLK1Xr4uf/image.png
npc_bark,cannot use this item offline,2258,drifella 2 #2258,metadata,94overlay,False,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HEogRBE2Zbt9TAGAa87Sj9MDmHAEBvy5voBbvZQzQog7/image.png
item_enemy_prop_name,vivienne westwood gem jacket,8417,drifella 2 #8417,metadata,5cloth,False,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HEJVz74sRso9dwQZPg91K1Ka8FTJ2s3w3HN4DfsV33oZ/image.png
item_enemy_prop_name,raf simmons virginia creeper,2456,drifella 2 #2456,metadata,5cloth,False,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HDY4mXtAVbSQKaow3eCdEBEExmDFMcHzmgTuKXDU3HnP/image.png
item_enemy_prop_name,missing no and jellyfish uap,4259,drifella 2 #4259,metadata,92left,False,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HARKZoX7GfBXnYb6YdYE5PM1qCKQ52WokZPNtxNBXrkH/image.png
npc_bark,legendary collection dratini,6287,drifella 2 #6287,metadata,1background,False,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/GtKrB9GWiQ8QSFYqxdXLcC3VVHWQdWe2AUFNqw62gyP8/image.png
npc_bark,mc ride playing club penguin,4508,drifella 2 #4508,metadata,1background,False,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/GidjVVvbarsdiht8ShwNHPqSHY8tVDCy7yws3KsJ3BJV/image.png
item_enemy_prop_name,toon blue eyes white dragon,8772,drifella 2 #8772,metadata,92left,False,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HGCNnwFBE5MmmW5adohCqdScQfbxEPL4qkmxy99fYZM2/image.png
item_enemy_prop_name,this picture broke my heart,9640,drifella 2 #9640,metadata,94overlay,False,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HFcessF4HiHF2sGgic6tzR3VZQSuD5mmMP8sJcQLfhEV/image.png
npc_bark,gengar pinball sprite sheet,4570,drifella 2 #4570,metadata,1background,False,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HF7UDg6Trhsh3SDwaY3eE7yG9ki1AHHToLYgPRcftYXo/image.png
item_enemy_prop_name,chris chan rugby longsleeve,6721,drifella 2 #6721,metadata,5cloth,False,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HDZ3PkqF5Qw3q9BvuPXSarAy4fsxLQbLQ2xkgzdCzhKC/image.png
item_enemy_prop_name,thrashed vtg nature sweater,523,drifella 2 #523,metadata,5cloth,False,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H7oPZiu5bDkHwCL45Kmnr6YxRKBxo86474tFFLsDThYR/image.png
npc_bark,wow it is literally me meme,6857,drifella 2 #6857,metadata,1background,False,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H674E31R9Y56MkGz8ZnjicbZbQR1xX4XDrqK1QDsTacJ/image.png
npc_bark,be ready to fight the horde,2643,drifella 2 #2643,metadata,94overlay,False,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H4hqirNBr4GRKkpZSWofYkjrKNgPbA3tTYoZFfiYSCeQ/image.png
item_enemy_prop_name,my girant isopod phone case,7735,drifella 2 #7735,metadata,92left,False,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H3XcQX2MPRQxDteLWayx9MGtAHGi4wB4DM8HGs6Yi9hd/image.png
npc_bark,born to drain mud is a fuck,883,drifella 2 #883,metadata,94overlay,False,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H327F5e2EAoj5e9r9t8tE4MYFBfsvF6j7cV6hUNrAEC6/image.png
npc_bark,white house mcdonalds order,4661,drifella 2 #4661,metadata,1background,False,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/Guxh3M8QCX3xMKYNK36mNSqSN2EBmd32JMM9UbnZfZBS/image.png
dream_milady_weirdness,praying to your flight god,7835,drifella 2 #7835,metadata,1background,False,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H21MwR7oRTTRv2xzPgBkGb924s5JmapJa2DwTfjjse6K/image.png
npc_bark,dratini line sprite sheets,2523,drifella 2 #2523,metadata,94overlay,False,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/Gyxn7guuZMyoUsbwREDU7bTUDZ5PWtYDyVGh2HuQJh7T/image.png
dream_milady_weirdness,touching grass isnt enough,2431,drifella 2 #2431,metadata,94overlay,False,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/Gnp2q2hPkhFi3tJ8jvnSGMd7HcY1teTQcxopdLXWQkMS/image.png
item_enemy_prop_name,pissed cartman no respect,7327,drifella 2 #7327,metadata,7mouth,False,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HHhGfBMH99f6iHoNB115wTtkK4ysaovmW6tYrkTyiHgn/image.png
item_enemy_prop_name,underverse tattered shirt,8033,drifella 2 #8033,metadata,5cloth,False,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HEYupjz6nXfEu7Q1RU4fA6BGQDutXHDyzeTpmuJ9rxNt/image.png
shop_signage,rainbow runescape selling,2781,drifella 2 #2781,metadata,94overlay,False,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HEMj46a51S9Z4eKc343HKS2ZPFLBVbHWrbPiSvNjw8FW/image.png
npc_bark,girls love a man in armor,6100,drifella 2 #6100,metadata,1background,False,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HDffgKdvjCR9cCHg3YrcFXGSr18VSXMobaRp1bNGgPEF/image.png
dream_milady_weirdness,she want me cuz im normal,4307,drifella 2 #4307,metadata,94overlay,False,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H9iHCbrC4wdQaFZa3TXNCn3Y6uRyzt7U6DxMr1krMitX/image.png
shop_signage,how to catch a milk thief,9056,drifella 2 #9056,metadata,94overlay,False,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H6FDSkDe4yeJc2kq5cCnZS8Rm5XtPj6yWXjZZiXeHYuR/image.png
npc_bark,person who keeps gambling,7203,drifella 2 #7203,metadata,94overlay,False,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H4YfGgF6XynofRVwyujnmLP4cwzCTNTZhYP9TcRbEnDP/image.png
npc_bark,black ops 2 speech bubble,5544,drifella 2 #5544,metadata,94overlay,False,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H1mv1sD7yvW2eErdLdRiHDz57XTNpBbAdiSaLK1Xr4uf/image.png
item_enemy_prop_name,piss stained goblin shirt,8256,drifella 2 #8256,metadata,5cloth,False,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/GnCbPV98rEi9kba1uBKRfsBfgUfMmPJLSznt7p8ePvD1/image.png
npc_bark,rolling into the function,7866,drifella 2 #7866,metadata,94overlay,False,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/GhakFH6E1Ky1RHEKGJLnhtxjxkDiozjSqgp8S9j3TJ4P/image.png
npc_bark,conciousness energy grid,2126,drifella 2 #2126,metadata,94overlay,False,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HJtPTNmLtGusgg6jv4wbz1SuDfiS8dExPtCa3P5s3t6G/image.png
item_enemy_prop_name,golden spiky demon grill,9726,drifella 2 #9726,metadata,7mouth,False,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HF5sm3CwJBHaBvcUPjNNdNDzmtEzndHTy4Lbj9VLAxSq/image.png
inspect_text,drifella film screenshot,8033,drifella 2 #8033,metadata,1background,False,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HEYupjz6nXfEu7Q1RU4fA6BGQDutXHDyzeTpmuJ9rxNt/image.png
item_enemy_prop_name,fucking spiky headphones,602,drifella 2 #602,metadata,91head,False,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HCoPjtmczaN6dEEU51Fs6edR8DTwcfQ7dNZjPTNNY5m6/image.png
item_enemy_prop_name,marker pixel pink yellow,4084,drifella 2 #4084,metadata,3drifellabody,False,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H6c4y5ax6vQWhxEUJjz6iFPt5qAu3iryavummamjt2kK/image.png
npc_bark,frazetta thumbnail study,4748,drifella 2 #4748,metadata,1background,False,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H2mbvLRpHeFxnBqFLrGgccBPSNWrpzMwMU14Xr2mEZQS/image.png
npc_bark,the silence of the lambs,5739,drifella 2 #5739,metadata,1background,False,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H28o9Gz9GqQRM4zvQCyKXzb2DPErw3ZZbumuxvEzutwd/image.png
item_enemy_prop_name,dark magician aura sword,7293,drifella 2 #7293,metadata,92left,False,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/GwcshWyacP9YskAyJiDWH9RhAvuTqDLBRd15Pfm9eaLb/image.png
item_enemy_prop_name,abstract graphite sketch,3239,drifella 2 #3239,metadata,3drifellabody,False,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/GqTUnfS2cXDJDca3twiv8oqyUn4NzxoK2oHrHTxauSGW/image.png
item_enemy_prop_name,backwards pill cyber jac,9461,drifella 2 #9461,metadata,5cloth,False,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/GoHRiXk8mL9guR9qSpbeN82enC8QGHmRKo1tAiD2NCQA/image.png
item_enemy_prop_name,bullet bill spike teeth,5170,drifella 2 #5170,metadata,7mouth,False,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HKJTjMV8dXEa9gJhFytQtDYdkTLouHhVRMMi85DjmYWd/image.png
inspect_text,blue eyes toon painting,1052,drifella 2 #1052,metadata,1background,False,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HFGLY4siSbFMsgCiNTTKkxz6GrtzVUQVzwUqddepRubj/image.png
item_enemy_prop_name,zip transparent leather,1849,drifella 2 #1849,metadata,3drifellabody,False,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HEgvKBiWruNg6H14hjULR8VijLNKaBgJdd6kKaXJZxDx/image.png
inspect_text,stretched skin painting,3310,drifella 2 #3310,metadata,1background,False,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HD1dj8dCQXnpeQ7jFbANxNJ26bKjJK69TS5deDFRVtwP/image.png
item_enemy_prop_name,apocolyptic hazmat head,795,drifella 2 #795,metadata,91head,False,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H6ZrxwazDuFCGSsCkZ1QT4Y9jUuQ671KjHaz3R8zMDzT/image.png
inspect_text,drifella chart painting,2422,drifella 2 #2422,metadata,1background,False,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H2C89PLEFBoL4YWe5ASMncKgbK6wZpKFZLkvBo449Jz1/image.png
item_enemy_prop_name,negative saturn scuffed,3323,drifella 2 #3323,metadata,3drifellabody,False,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/GyDDiPLaY2XmfmkEQv2LGexWXpo6NFPzbo7UGV8g25kC/image.png
item_enemy_prop_name,sony hat princess diana,8589,drifella 2 #8589,metadata,91head,False,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/Gx3dT5cDAxDX3D7ZptrsGnhi4odzX49mn1NoXJBMyjjV/image.png
item_enemy_prop_name,devil world raf simmons,643,drifella 2 #643,metadata,5cloth,False,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/GrnP6yWq1qFJ8CZkCn3JmayCpcgNuyiP485pmBzRmEik/image.png
